id,question,answer,category
0,"Можно ли использовать топливную карту до постановки нового автомобиля на учет?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
1,"Почему в личном кабинете отсутствует информация об автомобиле?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
2,"Как добавить новый автомобиль в систему?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
3,"Каким образом внести информацию о транспортном средстве?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
4,"Инструкция по добавлению данных об автомобиле","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
5,"Требуется обновить информацию о транспортном средстве","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
6,"Как зарегистрировать автомобиль в системе?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
7,"Как обновить данные автомобиля при замене служебного транспортного средства?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль
8,"Оплатят ли больничный, открытый за границей?","Сотруднику следует обратиться в мед. организацию (по месту прописки) с данными документами для выдачи больничного листа российского образца. Оплата больничного листа возможна только на основании листа нетрудоспособности российского образца.",БиР
9,"Процедура оформления больничного по беременности","Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска БИР"".",БиР
10,"Действия после получения больничного по БиР","Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска БИР"".",БиР
11,"Как оформить отпуск по беременности и родам?","Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска БИР"".",БиР
12,"Инструкция по оформлению больничного по БиР","Сотруднику следует обратиться к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска БИР"".",БиР
13,"Как оформить декретный отпуск сотруднице?","Обратитесь к HRBP для создания заявки ""Администрирование БиР""",БиР
14,"Порядок оформления декретного отпуска для сотрудницы","Обратитесь к HRBP для создания заявки ""Администрирование БиР""",БиР
15,"Как получить пособие при рождении ребенка?","Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР
16,"Оформление пособия после рождения ребенка","Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР
17,"Как получить единовременную выплату при рождении?","Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР
18,"Какие документы нужны для отпуска по уходу за ребенком?","Сотруднику необходимо перейти по ссылке в Базу знаний Личного кабинета https://company-x5.ru/cms/1091, открыть инструкцию по процессу 1091 - Администрирование отпуска по уходу за ребенком.",БиР
19,"Документы для оформления пособия по БиР","Сотруднику следует написать заявление о предоставлении отпуска по беременности и родам и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",БиР
20,"Когда выплатят пособие при рождении ребенка?","Выплата единовременного пособия при рождении производится в течение 10 рабочих дней. С дополнительными вопросами сотрудник может обратиться в СФР по номеру 8 (800) 100-00-01",БиР
21,"Сроки выплаты пособия при рождении","Выплата единовременного пособия при рождении производится в течение 10 рабочих дней. С дополнительными вопросами сотрудник может обратиться в СФР по номеру 8 (800) 100-00-01",БиР
22,"Нужно ли писать заявление после окончания отпуска по БиР?","Если сотрудник хочет уйти в отпуск по уходу за ребенком, ему следует написать заявление о предоставлении отпуска по уходу за ребенком и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",БиР
23,"Можно ли получать пособие по БиР на нескольких работах?","Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
24,"Возможность получения пособия по БиР в нескольких организациях","Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
25,"Получение пособия в нескольких компаниях одновременно","Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
26,"Можно ли получать пособие по рождению ребенка в нескольких местах?","Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
27,"Совмещение работы и отпуска по уходу за ребенком","Сотрудник может досрочно выйти из отпуска по уходу за ребенком с сохранением пособия",БиР
28,"Работа во время больничного по беременности","Вы можете продолжить работу во время больничного по беременности и родам, при этом Вам будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
29,"Изменение периода больничного по БиР в ЭЛН","Вы можете продолжить работу во время больничного по беременности и родам, при этом Вам будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
30,"Могут ли оба родителя получить пособие при рождении?","Право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",БиР
31,"Получение пособия обоими родителями","Право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",БиР
32,"Право на пособие при рождении у обоих родителей","Право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",БиР
33,"Корректировка периода больничного по БиР","Сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
34,"Совмещение работы и больничного по БиР","Сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
35,"Оформление отпуска для беременной сотрудницы","Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
36,"Оформление отпуска по беременности","Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
37,"Как оформить отпуск для беременной?","Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
38,"Проведение отпуска для беременной","Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
39,"Пособие по рождению ребенка не поступило","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
40,"Неверный расчет отпуска по уходу за ребенком","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
41,"Некорректный расчет пособия по БиР","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
42,"Не пришло пособие по рождению ребенка","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
43,"Возможен ли перевод во время декрета?","Перевод возможен после окончания отпуска по беременности и родам.",БиР
44,"Перевод во время отпуска по БиР","Перевод возможен после окончания отпуска по беременности и родам.",БиР
44,Возможен ли перевод во время отпуска по беременности и родам?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
45,Разрешён ли перевод в период отпуска по БиР?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
46,Могу ли я перевестись во время отпуска по беременности?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
47,Возможна ли смена магазина во время отпуска по беременности?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
48,Как бабушке оформить единовременную выплату на внука?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
49,Может ли бабушка оформить единовременную выплату при рождении внука?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
